"State","Name","Code","ColRulerName","GDPpc17","HDI17","IHDI17","Gini","ColRuler","ColRulerCode","IndFrom","IndDate","IndViol","IndType","SecFrom","SecDate","SecViol","Into","IntoDate","COWsys","GWsys","Notes"
341,"Montenegro","MNE","Turkey",7702.56637272964,0.814,0.741,31.9,640,"TUR",345,200606,0,3,345,200606,0,-9,-9,200606,200606,"Seceded from Serbia & Montenegro (former Yugoslavia)"
712,"Mongolia","MNG","China",3620.39180558157,0.741,0.639,32.3,710,"CHN",710,192108,1,3,-9,-9,-9,-9,-9,192103,192103,"-9"
541,"Mozambique","MOZ","Portugal",426.438077170711,0.437,0.294,54,235,"PRT",235,197506,1,2,-9,-9,-9,-9,-9,197506,197506,"-9"
435,"Mauritania","MRT","France",1129.38915173152,0.52,0.348,32.6,220,"FRA",220,196011,0,2,-9,-9,-9,-9,-9,196011,196011,"Part of French West Africa"
590,"Mauritius","MUS","France",10564.91259698,0.79,0.683,35.8,220,"FRA",200,196803,0,2,-9,-9,-9,-9,-9,196803,196803,"French took from Dutch 1710; captured by British 1810 / formally ceded in 1814"
553,"Malawi","MWI","United Kingdom",340.417088910495,0.477,0.332,45.5,200,"GBR",200,196407,0,2,-9,-9,-9,-9,-9,196407,196407,"-9"
820,"Malaysia","MYS","United Kingdom",9951.44955940059,0.802,NA,46.3,200,"GBR",200,195708,0,2,-9,-9,-9,-9,-9,195708,195708,"-9"
565,"Namibia","NAM","United Kingdom",5227.17982439078,0.647,0.422,61,200,"GBR",560,199003,1,2,-9,-9,-9,-9,-9,199003,199003,"Mandated to South Africa in 1920 - mandate withdrawn in 1966"
436,"Niger","NER","France",378.072121357101,0.354,0.25,34.3,220,"FRA",220,196008,0,2,-9,-9,-9,-9,-9,196010,196008,"Part of French West Africa"
475,"Nigeria","NGA","United Kingdom",1968.55247207895,0.532,0.347,43,200,"GBR",200,196010,0,2,-9,-9,-9,-9,-9,196010,196010,"-9"
93,"Nicaragua","NIC","Spain",2221.7812075383,0.658,0.507,46.2,230,"ESP",89,183804,1,3,89,183804,1,-9,-9,190001,184001,"Seceded from United States/Provinces of Cent.Am. (not in COW system; G&W 7/1/1823-12/31/1839)"
210,"Netherlands","NLD","Not Colonized",48754.1466075908,0.931,0.857,29.3,-9,"N/C",230,158107,1,2,-9,-9,-9,-9,-9,181601,181601,"COW system interrupted 7/1940-6/1945 (Ger occup); ruled by Austrian Hapsburgs until 1472 & Spanish Hapsburgs until 1581"
385,"Norway","NOR","Not Colonized",75295.2564231048,0.953,0.876,27.5,-9,"N/C",380,190506,0,3,380,190506,0,-9,-9,190506,190507,"COW system interrupted 4/1940-5/1945 (Ger occup)"
790,"Nepal","NPL","Not Colonized",848.668340875907,0.574,0.427,32.8,-9,"N/C",-9,176809,1,1,-9,-9,-9,-9,-9,192001,181601,"-9"
