"State","Name","Code","ColRulerName","GDPpc17","HDI17","IHDI17","Gini","ColRuler","ColRulerCode","IndFrom","IndDate","IndViol","IndType","SecFrom","SecDate","SecViol","Into","IntoDate","COWsys","GWsys","Notes"
91,"Honduras","HND","Spain",2480.1274688583,0.617,0.459,50,230,"ESP",89,183811,1,3,89,183811,1,-9,-9,189901,184001,"Seceded from United States/Provinces of Cent.Am. (not in COW system; G&W 7/1/1823-12/31/1839)"
344,"Croatia","HRV","Austria-Hungary",13176.5338753276,0.831,0.756,30.8,300,NA,345,199106,1,3,345,199106,1,-9,-9,199201,199106,"Polity2 codes earlier indep in 1830"
41,"Haiti","HTI","France",775.972532078947,0.498,0.304,41.1,220,"FRA",220,180401,1,2,-9,-9,-9,-9,-9,185901,181601,"COW system interrupted 7/1915-8/1934 (US occup)"
310,"Hungary","HUN","Not Colonized",14376.4120654678,0.838,0.772,30.4,-9,"N/C",300,191811,1,4,300,191811,1,-9,-9,191811,191811,"Emerged from breakup of Hapsburg Empire; terr chg codes as seceding from #305 Austria (not #300 Austria-Hungary)"
850,"Indonesia","IDN","Netherlands",3846.86433289296,0.694,0.563,39.5,210,"NLD",210,194912,1,2,-9,-9,-9,-9,-9,194912,194508,"-9"
750,"India","IND","United Kingdom",1923.31603407152,0.64,0.468,35.1,200,"GBR",200,194708,0,2,-9,-9,-9,-9,-9,194708,194708,"-9"
205,"Ireland","IRL","United Kingdom",69603.9244091622,0.938,0.854,31.9,200,"GBR",200,192212,1,3,200,192212,1,-9,-9,192212,192112,"Ruled as part of UK (not as a colony)"
630,"Iran (Persia)","IRN","Not Colonized",5679.64850878533,0.798,0.707,38.8,-9,"N/C",-9,150200,1,1,-9,-9,-9,-9,-9,185501,181601,"-9"
645,"Iraq","IRQ","Turkey",4755.72447287238,0.685,0.546,29.5,640,"TUR",200,193210,0,2,-9,-9,-9,-9,-9,193210,193210,"Occupied by British from 1917-20 before becoming League mandate"
395,"Iceland","ISL","Not Colonized",73060.1851845076,0.935,0.878,25.6,-9,"N/C",390,194406,0,3,390,194406,0,-9,-9,194406,194406,"-9"
666,"Israel","ISR","Turkey",42452.1350307258,0.903,0.787,41.4,640,"TUR",200,194805,1,2,-9,-9,-9,-9,-9,194805,194805,"Occupied by British from 1918-23 before becoming League mandate"
325,"Italy (19th Century Sardinia)","ITA","Not Colonized",32746.6080020614,0.88,0.771,34.7,-9,"N/C",-9,172000,0,1,-9,-9,-9,-9,-9,181601,181601,"COW codes unified Italy as continuation of #325 Sardinia / Polity2 codes Sardinia separately"
51,"Jamaica","JAM","United Kingdom",5129.84528128575,0.732,0.608,NA,200,"GBR",200,196208,0,2,-9,-9,-9,-9,-9,196208,196208,"-9"
663,"Jordan","JOR","Turkey",4195.72970641507,0.735,0.617,33.7,640,"TUR",200,194605,0,2,-9,-9,-9,-9,-9,194603,194605,"Occupied by British 1918-23 before becoming League mandate"
740,"Japan","JPN","Not Colonized",38219.6817283573,0.909,0.876,32.1,-9,"N/C",-9,159000,1,1,-9,-9,-9,-9,-9,186001,181601,"COW system interrupted 8/1945-4/1952 (Allied occup); terr chg codes a separate indep in 1952"
